id;tipo;produto;ano;Total
18;DERIVADOS;Base espumante;2016;0
19;DERIVADOS;Base espumante moscatel;2016;1325700
20;DERIVADOS;Base Champenoise champanha;2016;740395
21;DERIVADOS;Base Charmat champanha;2016;250280
22;DERIVADOS;Bebida de uva;2016;3474
23;DERIVADOS;Polpa de uva;2016;1620430
24;DERIVADOS;Mosto simples;2016;49770993
25;DERIVADOS;Mosto concentrado;2016;0
26;DERIVADOS;Mosto de uva com bagaço;2016;0
27;DERIVADOS;Mosto dessulfitado;2016;0
28;DERIVADOS;Mistelas;2016;0
29;DERIVADOS;Néctar de uva;2016;0
30;DERIVADOS;Licorosos;2016;0
31;DERIVADOS;Compostos;2016;0
32;DERIVADOS;Jeropiga;2016;0
33;DERIVADOS;Filtrado;2016;0
34;DERIVADOS;Frisante;2016;0
35;DERIVADOS;Vinho leve;2016;0
36;DERIVADOS;Vinho licoroso;2016;24200
37;DERIVADOS;Brandy;2016;0
38;DERIVADOS;Destilado;2016;0
39;DERIVADOS;Bagaceira;2016;1000
40;DERIVADOS;Licor de bagaceira;2016;0
41;DERIVADOS;Vinagre;2016;5000
42;DERIVADOS;Borra líquida;2016;24975
43;DERIVADOS;Borra seca;2016;82367
44;DERIVADOS;Vinho Composto;2016;0
45;DERIVADOS;Pisco;2016;0
46;DERIVADOS;Vinho orgânico;2016;0
47;DERIVADOS;Espumante orgânico;2016;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2016;0
49;DERIVADOS;Vinho acidificado ;2016;0
50;DERIVADOS;Mosto parcialmente fermentado ;2016;0
51;DERIVADOS;Outros derivados;2016;0
2;VINHO DE MESA;Tinto;2017;1365957
3;VINHO DE MESA;Branco;2017;217527985
4;VINHO DE MESA;Rosado;2017;36121245
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2017;21442212
7;VINHO FINO DE MESA (VINÍFERA);Branco;2017;21928400
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2017;1167258
10;SUCO;Suco de uva integral;2017;46865626
11;SUCO;Suco de uva concentrado;2017;30059271
12;SUCO;Suco de uva adoçado;2017;177774
13;SUCO;Suco de uva orgânico;2017;0
14;SUCO;Suco de uva reconstituído;2017;59300
16;DERIVADOS;Espumante;2017;11280
17;DERIVADOS;Espumante moscatel;2017;152375
18;DERIVADOS;Base espumante;2017;0
19;DERIVADOS;Base espumante moscatel;2017;1965629
20;DERIVADOS;Base Champenoise champanha;2017;1552403
21;DERIVADOS;Base Charmat champanha;2017;893364
22;DERIVADOS;Bebida de uva;2017;0
23;DERIVADOS;Polpa de uva;2017;2507125
24;DERIVADOS;Mosto simples;2017;101010116
25;DERIVADOS;Mosto concentrado;2017;0
26;DERIVADOS;Mosto de uva com bagaço;2017;772110
27;DERIVADOS;Mosto dessulfitado;2017;0
28;DERIVADOS;Mistelas;2017;1500
29;DERIVADOS;Néctar de uva;2017;3000
30;DERIVADOS;Licorosos;2017;110820
31;DERIVADOS;Compostos;2017;0
32;DERIVADOS;Jeropiga;2017;0
33;DERIVADOS;Filtrado;2017;0
34;DERIVADOS;Frisante;2017;0
35;DERIVADOS;Vinho leve;2017;0
36;DERIVADOS;Vinho licoroso;2017;110820
37;DERIVADOS;Brandy;2017;0
38;DERIVADOS;Destilado;2017;0
39;DERIVADOS;Bagaceira;2017;900
40;DERIVADOS;Licor de bagaceira;2017;0
41;DERIVADOS;Vinagre;2017;25319
42;DERIVADOS;Borra líquida;2017;0
43;DERIVADOS;Borra seca;2017;0
44;DERIVADOS;Vinho Composto;2017;0
45;DERIVADOS;Pisco;2017;0
46;DERIVADOS;Vinho orgânico;2017;0
47;DERIVADOS;Espumante orgânico;2017;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2017;0
49;DERIVADOS;Vinho acidificado ;2017;0
50;DERIVADOS;Mosto parcialmente fermentado ;2017;0
51;DERIVADOS;Outros derivados;2017;0
2;VINHO DE MESA;Tinto;2018;188270142
3;VINHO DE MESA;Branco;2018;29229970
4;VINHO DE MESA;Rosado;2018;875524
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2018;19118254
7;VINHO FINO DE MESA (VINÍFERA);Branco;2018;18297257
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2018;1291709
